statisticna_regija,leto,stevilo_stanovanj,povrsina_stanovanj,povrsina_ocena_dokoncanih,stevilo_ocena_dokoncanih,Priseljeni,Odseljeni
Pomurska,2010,256,52682,43413,317,2166,2191
Pomurska,2011,188,42149,40273,271,2392,2205
Pomurska,2012,147,32372,38516,234,2344,2374
Pomurska,2013,184,41480,34213,227,2236,2441
Pomurska,2014,174,34615,29559,216,2424,2393
Pomurska,2015,260,47876,21540,187,2295,2258
Pomurska,2016,234,47456,36569,305,2299,2207
Pomurska,2017,221,43828,24649,195,2224,2227
Pomurska,2018,278,55696,24828,200,1930,2042
Pomurska,2019,233,44119,27544,253,2093,1742
Pomurska,2020,241,48337,33329,245,2882,2528
Podravska,2010,748,146601,129443,905,5771,5644
Podravska,2011,801,144630,140370,987,6031,5702
Podravska,2012,452,94677,114988,909,6287,6006
Podravska,2013,505,109527,77202,547,6586,5863
Podravska,2014,467,107968,73173,530,6524,6172
Podravska,2015,449,97517,63369,428,6170,6329
Podravska,2016,582,122391,72460,516,5951,6270
Podravska,2017,663,139068,75191,509,6010,5940
Podravska,2018,725,152539,87505,629,5706,5167
Podravska,2019,712,162776,89260,665,5629,5529
Podravska,2020,734,174846,99954,680,7558,6889
Koroška,2010,91,24369,22641,209,1359,1706
Koroška,2011,88,21141,16002,87,1520,1687
Koroška,2012,89,20941,13630,81,1411,1797
Koroška,2013,104,21442,16256,103,1414,1851
Koroška,2014,100,22463,14593,123,1500,1632
Koroška,2015,71,14926,11186,79,1491,1653
Koroška,2016,71,16318,12569,79,1473,1632
Koroška,2017,75,16821,12718,86,1403,1583
Koroška,2018,85,20004,9137,70,1126,1484
Koroška,2019,112,19759,9816,67,1154,1386
Koroška,2020,198,35029,14367,132,1758,2053
Savinjska,2010,717,133570,116157,953,4858,5294
Savinjska,2011,532,106146,103811,849,5298,5403
Savinjska,2012,603,112377,81421,587,5345,5819
Savinjska,2013,341,77033,87652,681,4883,6006
Savinjska,2014,302,66333,57754,351,5527,5833
Savinjska,2015,310,68732,49273,350,5411,5249
Savinjska,2016,341,71924,49972,338,5374,5294
Savinjska,2017,361,77191,49636,357,5433,5373
Savinjska,2018,476,93095,52904,360,4802,5180
Savinjska,2019,418,88698,57748,417,4907,5273
Savinjska,2020,436,104123,55681,416,6668,7239
Zasavska,2010,55,30093,15755,94,731,1111
Zasavska,2011,24,6741,17384,115,838,1049
